#time,Andrea:member_47,Tony:member_48,Freddie:member_1057,Betty:member_1067,
20052944,55,55,56,259,
20052945,55,55,56,259,
20052946,55,55,56,259,
20052947,55,55,56,259,
20052948,55,55,56,56,
20052949,55,55,56,56,
20052950,55,55,56,56,
20052951,55,55,56,56,
20052952,55,55,56,56,
20052953,55,55,56,259,
20052954,55,55,56,259,
20052955,55,55,56,56,
20052956,55,55,56,56,
20052957,55,55,56,56,
20052958,55,55,56,56,
20052959,55,55,56,56,
20052960,55,55,56,56,
20052961,55,55,56,56,
20052962,55,55,56,56,
20052963,55,55,56,56,
20052964,55,55,56,56,
20052965,55,55,56,56,
20052966,55,55,56,56,
20052967,55,55,56,56,
20052968,55,55,56,56,
20052969,55,55,56,56,
20052970,55,55,56,56,
20052971,55,55,56,56,
20052972,55,55,56,56,
20052973,55,55,56,56,
20052974,55,55,56,56,
20052975,55,55,56,56,
20052976,55,55,56,56,
20052977,55,55,56,56,
20052978,55,55,56,56,
20052979,55,55,56,56,
20052980,55,55,56,56,
20052981,55,55,56,56,
20052982,55,55,56,56,
20052983,55,55,56,259,
20052984,55,55,56,259,
20052985,55,55,56,259,
20052986,55,55,56,259,
20052987,55,55,56,56,
20052988,55,55,56,56,
20052989,55,55,56,56,
20052990,55,55,56,56,
20052991,55,55,56,56,
20052992,55,55,56,56,
20052993,55,55,56,259,
20052994,55,55,56,259,
20052995,55,55,56,56,
20052996,55,55,56,56,
20052997,55,55,56,56,
20052998,55,55,56,56,
20052999,55,55,56,56,
20053000,55,55,56,56,
20053001,55,55,56,56,
20053002,55,55,56,56,
20053003,55,55,56,259,
20053004,55,55,56,259,
20053005,55,55,56,259,
20053006,55,55,56,259,
20053007,55,55,56,56,
20053008,55,55,56,56,
20053009,55,55,56,56,
20053010,55,55,56,56,
20053011,55,55,56,56,
20053012,55,55,56,56,
20053013,55,55,56,259,
20053014,55,55,56,259,
20053015,55,55,56,259,
20053016,55,55,56,259,
20053017,55,55,56,259,
20053018,55,55,56,56,
20053019,55,55,56,56,
20053020,55,55,56,56,
20053021,55,55,56,56,
20053022,55,55,56,56,
20053023,55,55,56,56,
20053024,55,55,56,56,
20053025,55,55,56,56,
20053026,55,55,56,56,
20053027,55,55,56,56,
20053028,55,55,56,56,
20053029,55,55,56,56,
20053030,55,55,56,56,
20053031,55,55,56,56,
20053032,55,55,56,56,
20053033,55,55,56,56,
20053034,55,55,56,56,
20053035,55,55,56,56,
20053036,55,55,56,56,
20053037,55,55,56,56,
20053038,55,55,56,56,
20053039,55,55,56,56,
20053040,55,55,56,56,
20053041,55,55,56,56,
20053042,55,55,56,56,
20053043,55,55,56,56,
20053044,55,55,56,56,
20053045,55,55,56,56,
20053046,55,55,56,56,
20053047,55,55,56,56,
20053048,55,55,56,56,
20053049,55,55,56,56,
20053050,55,55,56,56,
20053051,55,55,56,56,
20053052,55,55,56,56,
20053053,55,55,56,259,
20053054,55,55,56,259,
20053055,55,55,56,259,
20053056,55,55,56,259,
20053057,55,55,56,56,
20053058,55,55,56,56,
20053059,55,55,56,56,
20053060,55,55,56,56,
20053061,55,55,56,56,
20053062,55,55,56,56,
20053063,55,55,56,259,
20053064,55,55,56,259,
20053065,55,55,56,56,
20053066,55,55,56,56,
20053067,55,55,56,56,
20053068,55,55,56,56,
20053069,55,55,56,56,
20053070,55,55,56,56,
20053071,55,55,56,56,
20053072,55,55,56,56,
20053073,55,55,56,56,
20053074,55,55,56,56,
20053075,55,55,56,56,
20053076,55,55,56,56,
20053077,55,55,56,56,
20053078,55,55,56,56,
20053079,55,55,56,56,
20053080,55,55,56,56,
20053081,55,55,56,56,
20053082,55,55,56,56,
