Time Energy  Energy_in_atmosphere  Sigma  Initial_temperature  Density_of_water  Depth_of_mixed_layer  Specific_heat_of_water  Heat_capacity  Temperature  Seconds_per_year  Stronger_sun?  Solar_constant  Albedo_feedback?  Albedo_function  Albedo  Solar  Atmospheric_absorption  Solar_to_earth  H2O_feedback?  E_0  T_1  T_0  Emissivity  Initial_temperature_atmosphere  Mass_atmosphere  Specific_heat_atmosphere  Heat_capacity_atmosphere  T_atmosphere  IR_atmosphere  Solar_to_atmosphere  IR_down  IR  IR_to_space  T_Celsius  T_Celsius_atmosphere  IR_norm  Solar_to_earth_norm  IR_down_norm  
Years Stock  Stock  Converter  Converter  Converter  Converter  Converter  Converter  Converter  Converter  Converter  Converter  Converter  Converter  Converter  Converter  Converter  Flow  Converter  Converter  Converter  Converter  Converter  Converter  Converter  Converter  Converter  Converter  Converter  Flow  Flow  Flow  Flow  Converter  Converter  Converter  Converter  Converter  
0   25   0.01
0.11  57919323242.342  2500185373.2572  5.6696e-008  273.15  1000  50  4218  210900000  274.62931836104  31536000  0  1367  0  0.32977843144183  0.307168  7466946996.096  0.1  6720252296.4864  0  0.75  5423  273.15  0.856347  273.15  10326.19775739  1004  10367502.54842  241.15599312182  5178464991.6249  746694699.6096  5178464991.6249  10170601131.363  6639502355.9486  1.4793183610357  -31.994006878183  322.50764622536  213.0978024  164.20804767963
0.12  57936193812.502  2491931524.1172  5.6696e-008  273.15  1000  50  4218  210900000  274.70931158133  31536000  0  1367  0  0.32961044567921  0.307168  7466946996.096  0.1  6720252296.4864  0  0.75  5423  273.15  0.856347  273.15  10326.19775739  1004  10367502.54842  240.35986607951  5110420313.8701  746694699.6096  5110420313.8701  10182456160.915  6573160688.754  1.5593115813294  -32.790133920488  322.88356674641  213.0978024  162.05036510242
0.13  57952327720.016  2485018404.4456  5.6696e-008  273.15  1000  50  4218  210900000  274.78581185404  31536000  0  1367  0  0.32944979510652  0.307168  7466946996.096  0.1  6720252296.4864  0  0.75  5423  273.15  0.856347  273.15  10326.19775739  1004  10367502.54842  239.69305942677  5053946523.7122  746694699.6096  5053946523.7122  10193803226.119  6518316938.5539  1.6358118540368  -33.456940573234  323.24337982368  213.0978024  160.25959296398
0.14  57967834940.786  2479231422.6171  5.6696e-008  273.15  1000  50  4218  210900000  274.8593406391  31536000  0  1367  0  0.32929538465789  0.307168  7466946996.096  0.1  6720252296.4864  0  0.75  5423  273.15  0.856347  273.15  10326.19775739  1004  10367502.54842  239.13487467576  5007033242.9426  746694699.6096  5007033242.9426  10204718474.816  6472971666.0053  1.7093406391014  -34.015125324236  323.58950008929  213.0978024  158.7719825895
0.15  57982806679.14  2474392735.873  5.6696e-008  273.15  1000  50  4218  210900000  274.93033038947  31536000  0  1367  0  0.3291463061821  0.307168  7466946996.096  0.1  6720252296.4864  0  0.75  5423  273.15  0.856347  273.15  10326.19775739  1004  10367502.54842  238.66815795961  4968058856.4271  746694699.6096  4968058856.4271  10215265121.97  6435512336.9934  1.780330389474  -34.481842040391  323.92393207667  213.0978024  157.5361129004
0.16  57997318921.538  2470354276.3182  5.6696e-008  273.15  1000  50  4218  210900000  274.99914140132  31536000  0  1367  0  0.32900180305723  0.307168  7466946996.096  0.1  6720252296.4864  0  0.75  5423  273.15  0.856347  273.15  10326.19775739  1004  10367502.54842  238.27862735319  4935704671.3038  746694699.6096  4935704671.3038  10225495883.62  6404627831.4734  1.8491414013185  -34.87137264681  324.24834740043  213.0978024  156.51016842034
0.17  58011435224.897  2466992282.9807  5.6696e-008  273.15  1000  50  4218  210900000  275.06607503507  31536000  0  1367  0  0.32886784992985  0.307168  7466946996.096  0.1  6720252296.4864  0  0.75  5423  273.15  0.856347  273.15  10326.19775739  1004  10367502.54842  237.95434546159  4908890764.5724  746694699.6096  4908890764.5724  10235454889.52  6379244565.8166  1.916075035074  -35.195654538407  324.56414540588  213.0978024  155.65990501561
0.18  58025208928.172  2464202967.8275  5.6696e-008  273.15  1000  50  4218  210900000  275.13138420186  31536000  0  1367  0  0.32873723159628  0.307168  7466946996.096  0.1  6720252296.4864  0  0.75  5423  273.15  0.856347  273.15  10326.19775739  1004  10367502.54842  237.68530138466  4886727357.1539  746694699.6096  4886727357.1539  10245179202.354  6358478085.1097  1.9813842018604  -35.464698615336  324.87250134304  213.0978024  154.95710797672
0.19  58038684923.434  2461899047.2161  5.6696e-008  273.15  1000  50  4218  210900000  275.19528176119  31536000  0  1367  0  0.32860943647763  0.307168  7466946996.096  0.1  6720252296.4864  0  0.75  5423  273.15  0.856347  273.15  10326.19775739  1004  10367502.54842  237.46307615726  4868477476.9558  746694699.6096  4868477476.9558  10254700036.016  6341595901.2295  2.0452817611865  -35.686923842736  325.17440499796  213.0978024  154.37840807191
0.2  58051901086.307  2460006942.0768  5.6696e-008  273.15  1000  50  4218  210900000  275.25794730349  31536000  0  1367  0  0.32848410539301  0.307168  7466946996.096  0.1  6720252296.4864  0  0.75  5423  273.15  0.856347  273.15  10326.19775739  1004  10367502.54842  237.28057269219  4853527948.9658  746694699.6096  4853527948.9658  10264043740.839  6327988624.4685  2.1079473034937  -35.86942730781  325.47069193428  213.0978024  153.90436164909
0.21  58064889440.006  2458464500.7133  5.6696e-008  273.15  1000  50  4218  210900000  275.31953266954  31536000  0  1367  0  0.32836093466092  0.307168  7466946996.096  0.1  6720252296.4864  0  0.75  5423  273.15  0.856347  273.15  10326.19775739  1004  10367502.54842  237.13179613233  4841366610.4654  746694699.6096  4841366610.4654  10273232606.337  6317147294.0635  2.169532669542  -36.018203867671  325.76206894777  213.0978024  153.518728135
0.22  58077677108.887  2457219134.2655  5.6696e-008  273.15  1000  50  4218  210900000  275.38016647173  31536000  0  1367  0  0.32823966705655  0.307168  7466946996.096  0.1  6720252296.4864  0  0.75  5423  273.15  0.856347  273.15  10326.19775739  1004  10367502.54842  237.01167400629  4831564238.6606  746694699.6096  4831564238.6606  10282285519.54  6308645400.399  2.2301664717257  -36.138325993714  326.04913494227  213.0978024  153.20789696412
0.23  58090287104.109  2456226281.0807  5.6696e-008  273.15  1000  50  4218  210900000  275.43995781939  31536000  0  1367  0  0.32812008436122  0.307168  7466946996.096  0.1  6720252296.4864  0  0.75  5423  273.15  0.856347  273.15  10326.19775739  1004  10367502.54842  236.91590810894  4823760087.61  746694699.6096  4823760087.61  10291218508.043  6302124499.9459  2.2899578193877  -36.234091891057  326.33239814952  213.0978024  152.9604289577
0.24  58102738974.285  2455448135.4694  5.6696e-008  273.15  1000  50  4218  210900000  275.49899940391  31536000  0  1367  0  0.32800200119217  0.307168  7466946996.096  0.1  6720252296.4864  0  0.75  5423  273.15  0.856347  273.15  10326.19775739  1004  10367502.54842  236.84085188324  4817650219.9441  746694699.6096  4817650219.9441  10300045190.204  6297282611.6525  2.3489994039135  -36.309148116761  326.61229040474  213.0978024  152.76668632497
0.25  58115049346.704  2454852590.6068  5.6696e-008  273.15  1000  50  4218  210900000  275.55737006498  31536000  0  1367  0  0.32788525987004  0.307168  7466946996.096  0.1  6720252296.4864  0  0.75  5423  273.15  0.856347  273.15  10326.19775739  1004  10367502.54842  236.78340845751  4812978024.8395  746694699.6096  4812978024.8395  10308777150.003  6293864788.7688  2.4073700649782  -36.366591542494  326.88917903357  213.0978024  152.61853199009
