Time	Energy 	Sigma 	Initial_temperature 	Density_of_water 	Depth_of_mixed_layer 	Specific_heat_of_water 	Heat_capacity 	Temperature 	Seconds_per_year 	Solar_constant 	Albedo 	Solar 	IR 	T_Celsius 	
Years	Stock 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Flow 	Flow 	Converter 	
0 	 10 	 0.1
2.9 	54410220533.905 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	257.99061419585 	31536000 	1367 	0.3 	7544199600 	7920902225.3933 	-15.15938580415
3 	54372550271.365 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	257.81199749343 	31536000 	1367 	0.3 	7544199600 	7898989229.329 	-15.338002506565
3.1 	54337071308.433 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	257.64377102149 	31536000 	1367 	0.3 	7544199600 	7878392530.1087 	-15.506228978509
3.2 	54303652015.422 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	257.48531064685 	31536000 	1367 	0.3 	7544199600 	7859028401.5784 	-15.664689353145
3.3 	54272169135.264 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	257.33603193582 	31536000 	1367 	0.3 	7544199600 	7840818962.3118 	-15.813968064183
3.4 	54242507199.033 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	257.1953873828 	31536000 	1367 	0.3 	7544199600 	7823691710.6336 	-15.9546126172
3.5 	54214557987.969 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	257.0628638595 	31536000 	1367 	0.3 	7544199600 	7807579102.7059 	-16.087136140497
3.6 	54188220037.699 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	256.9379802641 	31536000 	1367 	0.3 	7544199600 	7792418169.0628 	-16.2120197359
3.7 	54163398180.792 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	256.82028535226 	31536000 	1367 	0.3 	7544199600 	7778150165.5354 	-16.329714647736
3.8 	54140003124.239 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	256.70935573371 	31536000 	1367 	0.3 	7544199600 	7764720254.9962 	-16.440644266293
3.9 	54117951058.739 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	256.60479401963 	31536000 	1367 	0.3 	7544199600 	7752077216.772 	-16.545205980374
4 	54097163297.062 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	256.50622710793 	31536000 	1367 	0.3 	7544199600 	7740173180.9409 	-16.643772892072
4.1 	54077565938.968 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	256.41330459444 	31536000 	1367 	0.3 	7544199600 	7728963385.0455 	-16.736695405557
4.2 	54059089560.463 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	256.32569729949 	31536000 	1367 	0.3 	7544199600 	7718405951.0367 	-16.824302700506
4.3 	54041668925.36 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	256.24309590024 	31536000 	1367 	0.3 	7544199600 	7708461680.4999 	-16.906904099764
4.4 	54025242717.31 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	256.16520966007 	31536000 	1367 	0.3 	7544199600 	7699093866.4346 	-16.984790339925
4.5 	54009753290.666 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	256.09176524735 	31536000 	1367 	0.3 	7544199600 	7690268120.0418 	-17.058234752649
4.6 	53995146438.662 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	256.02250563614 	31536000 	1367 	0.3 	7544199600 	7681952211.1384 	-17.127494363859
4.7 	53981371177.548 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.95718908273 	31536000 	1367 	0.3 	7544199600 	7674115920.965 	-17.192810917268
4.8 	53968379545.452 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.89558817189 	31536000 	1367 	0.3 	7544199600 	7666730906.2796 	-17.254411828109
