#time,celsius_9,
0.0,0.0,
0.1,-1.1422598190445683,
0.2,-2.2060709282259836,
0.3,-3.197704483834741,
0.4,-4.1228188458574095,
0.5,-4.986533565848731,
0.6,-5.793492619828612,
0.7,-6.547918703481969,
0.8,-7.2536600596816925,
0.9,-7.914231034714248,
1.0,-8.532847342490129,
1.1,-9.112456842682207,
1.2,-9.655766499495371,
1.3,-10.16526607527851,
1.4,-10.64324902181528,
1.5,-11.091830957525758,
1.6,-11.5129660575966,
1.7,-11.908461633600098,
1.8,-12.279991137382694,
1.9,-12.629105789263633,
2.0,-12.957245001581896,
2.1,-13.265745744320611,
2.2,-13.555850979089882,
2.3,-13.828717270486038,
2.4,-14.085421669220352,
2.5,-14.326967948984702,
2.6,-14.554292268422614,
2.7,-14.768268320516142,
2.8,-14.9697120239274,
2.9,-15.159385804150133,
3.0,-15.338002506565147,
3.1,-15.506228978508716,
3.2,-15.664689353145377,
3.3,-15.81396806418303,
3.4,-15.954612617199587,
3.5,-16.087136140496682,
3.6,-16.212019735900128,
3.7,-16.32971464773641,
3.8,-16.44064426629285,
3.9,-16.54520598037351,
4.0,-16.64377289207198,
4.1,-16.73669540555744,
4.2,-16.82430270050554,
4.3,-16.90690409976429,
4.4,-16.98479033992544,
4.5,-17.058234752649355,
4.6,-17.127494363859284,
4.7,-17.192810917267707,
4.8,-17.25441182810937,
4.9,-17.312511072433466,
5.0,-17.36731001683475,
5.1,-17.418998193079204,
5.2,-17.467754021699818,
5.3,-17.513745488292216,
5.4,-17.557130775930318,
5.5,-17.598058856840055,
5.6,-17.63667004621516,
5.7,-17.67309652082747,
5.8,-17.707462804874552,
5.9,-17.739886225317036,
6.0,-17.77047733878291,
6.1,-17.79934033195937,
6.2,-17.826573397246392,
6.3,-17.852269085314845,
6.4,-17.876514636090775,
6.5,-17.89939228957644,
6.6,-17.920979577816524,
6.7,-17.941349599225617,
6.8,-17.960571276405574,
6.9,-17.97870959850377,
7.0,-17.9958258490893,
7.1,-18.011977820457844,
7.2,-18.027220015213373,
7.3,-18.041603835917385,
7.4,-18.055177763544492,
7.5,-18.067987525432528,
7.6,-18.08007625337146,
7.7,-18.091484632431957,
7.8,-18.10225104109651,
7.9,-18.11241168321891,
8.0,-18.122000712304356,
8.1,-18.13105034857145,
8.2,-18.13959098922774,
8.3,-18.147651312363337,
8.4,-18.155258374841992,
8.5,-18.162437704545397,
8.6,-18.169213387304126,
8.7,-18.175608148828644,
8.8,-18.181643431933736,
8.9,-18.18733946933284,
9.0,-18.19271535226099,
9.1,-18.197789095170236,
9.2,-18.20257769672571,
9.3,-18.207097197317978,
9.4,-18.211362733293356,
9.5,-18.215388588092623,
9.6,-18.219188240476342,
9.7,-18.22277441000577,
9.8,-18.226159099936524,
9.9,-18.22935363767496,
10.0,-18.232368712936363,
10.1,-18.235214413737737,
10.2,-18.237900260348738,
10.3,-18.240435237317854,
10.4,-18.242827823684053,
10.5,-18.24508602147739,
10.6,-18.247217382606635,
10.7,-18.24922903422521,
10.8,-18.251127702662927,
10.9,-18.252919736004685,
11.0,-18.25461112539344,
11.1,-18.25620752512947,
11.2,-18.257714271635137,
11.3,-18.25913640134854,
11.4,-18.260478667607828,
11.5,-18.261745556582696,
11.6,-18.262941302307354,
11.7,-18.264069900865877,
11.8,-18.26513512377798,
11.9,-18.26614053063011,
12.0,-18.267089480994997,
12.1,-18.26798514567966,
12.2,-18.26883051733995,
12.3,-18.2696284204971,
12.4,-18.27038152099047,
12.5,-18.271092334898185,
12.6,-18.271763236955508,
12.7,-18.272396468499437,
12.8,-18.272994144966418,
12.9,-18.273558262968095,
13.0,-18.274090706968792,
13.1,-18.274593255587888,
13.2,-18.2750675875472,
13.3,-18.275515287284094,
13.4,-18.27593785024908,
13.5,-18.2763366879054,
13.6,-18.27671313244744,
13.7,-18.277068441254016,
13.8,-18.27740380109131,
13.9,-18.277720332079554,
